/RU46017RMFS=MM	Baa1	3/27/2013	MDL
/RU46017RMFS=MM	WD	7/25/2006	FIS
/RU46017RMFS=MM	BBB	2/4/2009	FDL
/RU46018RMFS=MM	BBB	12/8/2008	SPI
/RU46018RMFS=MM	Baa1	3/27/2013	MIS
/RU46018RMFS=MM	Baa1	3/27/2013	MDL
/RU46018RMFS=MM	WD	7/25/2006	FIS
/RU46018RMFS=MM	BBB	2/4/2009	FDL
/RU46019RMFS=MM	BBB	12/8/2008	SPI
/RU46019RMFS=MM	Baa1	3/27/2013	MIS
/RU46019RMFS=MM	Baa1	3/27/2013	MDL
/RU46019RMFS=MM	WD	7/25/2006	FIS
/RU46019RMFS=MM	BBB	2/4/2009	FDL
/RU46020RMFS=MM	BBB	12/8/2008	SPI
/RU46020RMFS=MM	Baa1	3/27/2013	MIS
/RU46020RMFS=MM	Baa1	3/27/2013	MDL
/RU46020RMFS=MM	WD	7/25/2006	FIS
/RU46020RMFS=MM	BBB	2/4/2009	FDL
/RU46021RMFS=MM	BBB	12/8/2008	SPI
/RU46021RMFS=MM	Baa1	3/27/2013	MIS
/RU46021RMFS=MM	Baa1	3/27/2013	MDL
/RU46021RMFS=MM	WD	7/25/2006	FIS
/RU46021RMFS=MM	BBB	2/4/2009	FDL
/RU46022RMFS=MM	BBB	12/8/2008	SPI
/RU46022RMFS=MM	Baa1	3/27/2013	MIS
/RU46022RMFS=MM	Baa1	3/27/2013	MDL
/RU46022RMFS=MM	WD	7/25/2006	FIS
/RU46022RMFS=MM	BBB	2/4/2009	FDL
/RU46023RMFS=MM	BBB	12/8/2008	SPI
/RU46023RMFS=MM	Baa1	3/27/2013	MIS
/RU46023RMFS=MM	Baa1	3/27/2013	MDL
/RU46023RMFS=MM	WD	7/25/2006	FIS
/RU46023RMFS=MM	BBB	2/4/2009	FDL
/RU48001RMFS=MM	BBB	12/8/2008	SPI
/RU48001RMFS=MM	Baa1	3/27/2013	MIS
/RU48001RMFS=MM	Baa1	3/27/2013	MDL
/RU48001RMFS=MM	WD	7/25/2006	FIS
/RU48001RMFS=MM	BBB	2/4/2009	FDL
/RU000A0JQGW2=MM			
/RU000A0JQ9U9=MM	BB	8/28/2008	SPI
/RU000A0JQ9U9=MM	Ba3	5/30/2013	MDL
/RU000A0JQ9U9=MM	WD	7/19/2007	FIS
/RU000A0JQ9U9=MM	BB-	7/19/2007	FDL
/RU000A0JQL30=MM	BB	8/28/2008	SPI
/RU000A0JQL30=MM	Ba3	5/30/2013	MDL
/RU000A0JQL30=MM	WD	7/19/2007	FIS
/RU000A0JQL30=MM	BB-	7/19/2007	FDL
/RU000A0JRBU5=MM	BB	8/28/2008	SPI
/RU000A0JRBU5=MM	Ba3	5/30/2013	MDL
/RU000A0JRBU5=MM	WD	7/19/2007	FIS
/RU000A0JRBU5=MM	BB-	7/19/2007	FDL
/RU000A0JR5F7=MM	BBB	12/9/2008	SPI
/RU000A0JR5F7=MM	Baa1	4/2/2013	MIS
/RU000A0JR5F7=MM	Baa1	4/2/2013	MDL
/RU000A0JU3G5=MM			
/RU000A0JS1A6=MM			
/RU000A0JTCV7=MM			
/RU000A0JUBT1=MM			
/RU000A0JPJE6=MM			
/RU000A0JPLU8=MM	BBB	12/9/2008	SPI
/RU000A0JPLU8=MM	Baa1	4/2/2013	MIS
/RU000A0JPLU8=MM	Baa1	4/2/2013	MDL
/RU000A0JQAG8=MM	BBB	12/9/2008	SPI
/RU000A0JQAG8=MM	Baa1	4/2/2013	MIS
/RU000A0JQAG8=MM	Baa1	4/2/2013	MDL
/RU000A0JQAL8=MM	BBB	12/9/2008	SPI
/RU000A0JQAL8=MM	Baa1	4/2/2013	MIS
/RU000A0JQAL8=MM	Baa1	4/2/2013	MDL
/RU000A0JQAM6=MM	BBB	12/9/2008	SPI
/RU000A0JQAM6=MM	Baa1	4/2/2013	MIS
/RU000A0JQAM6=MM	Baa1	4/2/2013	MDL
/RU000A0JQXG0=MM	BBB	12/9/2008	SPI
/RU000A0JQXG0=MM	Baa1	4/2/2013	MIS
/RU000A0JQXG0=MM	Baa1	4/2/2013	MDL
/RU000A0JRDY3=MM	BBB	12/9/2008	SPI
/RU000A0JRDY3=MM	Baa1	4/2/2013	MIS
/RU000A0JRDY3=MM	Baa1	4/2/2013	MDL
/RU000A0JRF37=MM	BBB	12/9/2008	SPI
/RU000A0JRF37=MM	Baa1	4/2/2013	MIS
/RU000A0JRF37=MM	Baa1	4/2/2013	MDL
/RU000A0JU3J9=MM			
/RU000A0JS1B4=MM			
/RU000A0JTD52=MM			
/RU000A0JUC19=MM			
/RU000A0JR6S8=MM	BBB	12/9/2008	SPI
/RU000A0JR6S8=MM	Baa1	4/2/2013	MIS
/RU000A0JR6S8=MM	Baa1	4/2/2013	MDL
/RU000A0JS488=MM	BBB	12/9/2008	SPI
/RU000A0JS488=MM	Baa1	4/2/2013	MIS
/RU000A0JS488=MM	Baa1	4/2/2013	MDL
/RU000A0JS5S9=MM	BBB	12/9/2008	SPI
/RU000A0JS5S9=MM	Baa1	4/2/2013	MIS
/RU000A0JS5S9=MM	Baa1	4/2/2013	MDL
/RU000A0JRYW3=MM	BBB	12/9/2008	SPI
/RU000A0JRYW3=MM	Baa1	4/2/2013	MIS
/RU000A0JRYW3=MM	Baa1	4/2/2013	MDL
/RU000A0JTDX1=MM	BBB	12/9/2008	SPI
/RU000A0JTDX1=MM	Baa1	4/2/2013	MIS
/RU000A0JTDX1=MM	Baa1	4/2/2013	MDL
/RU000A0JTW83=MM	BBB	12/9/2008	SPI
/RU000A0JTW83=MM	Baa1	4/2/2013	MIS
/RU000A0JTW83=MM	Baa1	4/2/2013	MDL
/RU000A0JTZF1=MM	BBB	12/9/2008	SPI
/RU000A0JTZF1=MM	Baa1	4/2/2013	MIS
/RU000A0JTZF1=MM	Baa1	4/2/2013	MDL
/RU000A0JTYR9=MM	BBB	12/9/2008	SPI
/RU000A0JTYR9=MM	Baa1	4/2/2013	MIS
/RU000A0JTYR9=MM	Baa1	4/2/2013	MDL
/RU000A0GKNF2=MM	BBB	12/9/2008	SPI
/RU000A0GKNF2=MM	Baa1	4/2/2013	MIS
/RU000A0GKNF2=MM	Baa1	4/2/2013	MDL
/RU000A0JNPJ7=MM	BBB	12/9/2008	SPI
/RU000A0JNPJ7=MM	Baa1	4/2/2013	MIS
/RU000A0JNPJ7=MM	Baa1	4/2/2013	MDL
/RU000A0JNPK5=MM	BBB	12/9/2008	SPI
/RU000A0JNPK5=MM	Baa1	4/2/2013	MIS
/RU000A0JNPK5=MM	Baa1	4/2/2013	MDL
/RU000A0JP1V5=MM	BBB	12/9/2008	SPI
/RU000A0JP1V5=MM	Baa1	4/2/2013	MIS
/RU000A0JP1V5=MM	Baa1	4/2/2013	MDL
/RU000A0JU5T3=MM	BBB	12/9/2008	SPI
/RU000A0JU5T3=MM	Baa1	4/2/2013	MIS
/RU000A0JU5T3=MM	Baa1	4/2/2013	MDL
/RU000A0JP8D8=MM			
/RU000A0JPN21=MM			
/RU000A0JPN39=MM			
/RU000A0JQ276=MM			
/RU000A0JQY35=MM	Unable to collect data for the field 'EJV.IR.Rating' and some specific identifier(s).	Unable to collect data for the field 'EJV.IR.RatingDate' and some specific identifier(s).	Unable to collect data for the field 'EJV.IR.RatingSourceCode' and some specific identifier(s).
/RU000A0JRMV0=MM			
/RU000A0JRMW8=MM			
/RU000A0JSGW8=MM			
/RU000A0JSKJ7=MM			
/RU000A0JT692=MM	B1	12/10/2013	MDL
/RU000A0JT692=MM	WD	2/5/2007	FIS
/RU000A0JT692=MM	BB-	6/7/2012	FDL
/RU000A0JTRL6=MM	B1	12/10/2013	MDL
/RU000A0JTRL6=MM	WD	2/5/2007	FIS
/RU000A0JTRL6=MM	BB-	6/7/2012	FDL
/RU000A0JU310=MM	B1	12/10/2013	MDL
/RU000A0JU310=MM	WD	2/5/2007	FIS
/RU000A0JU310=MM	BB-	6/7/2012	FDL
/RU000A0JU2T0=MM	BB+	12/27/2012	SPI
/RU000A0JU2T0=MM	Ba1	4/2/2013	MDL
/RU000A0JU2T0=MM	WD	9/8/2006	FIS
/RU000A0JU2T0=MM	BBB-	7/13/2012	FDL
/RU000A0JQVK6=MM	BB-	10/19/2010	SPI
/RU000A0JQVK6=MM	WR	8/16/2005	MIS
/RU000A0JQVK6=MM	Ba3	4/7/2009	MDL
/RU000A0JQVK6=MM	BB	10/16/2013	FDL
/RU000A0JQX02=MM	BB-	10/19/2010	SPI
/RU000A0JQX02=MM	WR	8/16/2005	MIS
